file	context	selector	property	old_value	final_value	old_rule	final_rule
src/css/main/08-news-and-effects.css		.av-news-led-line	background	linear-gradient(     90deg,     transparent 0%,     rgba(41, 171, 255, .05) 10%,     rgba(53, 222, 229, .14) 30%,     rgba(76, 255, 219, .34) 57%,     rgba(108, 255, 227, .70) 82%,     #effffc 100%   )	radial-gradient(ellipse at 32% 54%, rgba(83, 237, 228, .32) 0 15%, rgba(39, 186, 225, .17) 42%, transparent 78%),     radial-gradient(ellipse at 66% 38%, rgba(111, 255, 226, .27) 0 12%, rgba(42, 204, 220, .15) 38%, transparent 75%),     radial-gradient(ellipse at 77% 70%, rgba(42, 164, 239, .18) 0 11%, transparent 69%)	25	39
src/css/main/08-news-and-effects.css		.av-news-led-line	background	radial-gradient(       ellipse at 76% 50%,       rgba(160, 255, 239, .34) 0%,       rgba(104, 255, 225, .30) 20%,       rgba(56, 222, 224, .22) 43%,       rgba(36, 157, 255, .12) 64%,       transparent 86%     ),     radial-gradient(       ellipse at 38% 50%,       rgba(58, 208, 221, .14),       transparent 78%     )	radial-gradient(ellipse at 32% 54%, rgba(83, 237, 228, .32) 0 15%, rgba(39, 186, 225, .17) 42%, transparent 78%),     radial-gradient(ellipse at 66% 38%, rgba(111, 255, 226, .27) 0 12%, rgba(42, 204, 220, .15) 38%, transparent 75%),     radial-gradient(ellipse at 77% 70%, rgba(42, 164, 239, .18) 0 11%, transparent 69%)	34	39
src/css/main/08-news-and-effects.css		.av-news-led-line	background	radial-gradient(ellipse at 24% 46%, rgba(73, 223, 230, .26) 0 17%, rgba(45, 190, 225, .16) 35%, transparent 67%),     radial-gradient(ellipse at 52% 30%, rgba(106, 255, 224, .24) 0 14%, rgba(50, 218, 217, .14) 34%, transparent 64%),     radial-gradient(ellipse at 72% 62%, rgba(70, 228, 218, .22) 0 16%, rgba(31, 161, 235, .13) 38%, transparent 69%),     radial-gradient(ellipse at 43% 76%, rgba(37, 168, 237, .17) 0 15%, transparent 62%)	radial-gradient(ellipse at 32% 54%, rgba(83, 237, 228, .32) 0 15%, rgba(39, 186, 225, .17) 42%, transparent 78%),     radial-gradient(ellipse at 66% 38%, rgba(111, 255, 226, .27) 0 12%, rgba(42, 204, 220, .15) 38%, transparent 75%),     radial-gradient(ellipse at 77% 70%, rgba(42, 164, 239, .18) 0 11%, transparent 69%)	36	39
src/css/main/08-news-and-effects.css		.av-news-led-line	offset-path	inset(3px round 18px)	inset(16px round 32px)	25	39
src/css/main/08-news-and-effects.css		.av-news-led-line	offset-path	inset(4px round 21px)	inset(16px round 32px)	30	39
src/css/main/08-news-and-effects.css		.av-news-led-line	offset-path	inset(16px round 34px)	inset(16px round 32px)	34	39
src/css/main/08-news-and-effects.css		.av-news-led-line	background-size	126% 148%, 138% 132%, 128% 146%, 146% 142%	auto	36	39
src/css/main/08-news-and-effects.css		.av-news-led-line	background-position	-12% 42%, 52% -16%, 112% 66%, 34% 112%	0 0	36	39
src/css/main/10-responsive-final.css		.share-com-v-join	--share-join-surface	#111010	#02090c	6	17
src/css/main/10-responsive-final.css		.share-banner-container:not(#__av_prio_a#__av_prio_b)::after	content	none	""	16	27
src/css/main/10-responsive-final.css		.share-com-v-top:not(#__av_prio_a#__av_prio_b), .share-com-v-bottom:not(#__av_prio_a#__av_prio_b)	display	none	block	20	32
src/css/main/10-responsive-final.css		.share-com-v-join svg:not(#__av_prio_a#__av_prio_b)	filter	none	drop-shadow(0 14px 20px rgba(0,0,0,.24))       drop-shadow(0 0 12px rgba(212,183,122,.045))	21	30
src/css/trending/04-trending-refinements.css		#trendingMaster .trending-pair::before	background	linear-gradient(180deg, rgba(255,255,255,.035), transparent 22%, transparent 78%, rgba(255,255,255,.025))	conic-gradient(from 0deg, transparent 0deg 36deg, rgba(255,255,255,.04) 50deg, #7de1d0 72deg, color-mix(in srgb, var(--avt-rank-color) 76%, #d7c995) 88deg, rgba(88,126,184,.72) 106deg, transparent 128deg 360deg)	0	80
src/css/trending/04-trending-refinements.css		#trendingMaster .trending-pair::before	background	linear-gradient(180deg, rgba(255,255,255,.04), transparent 24%, transparent 76%, rgba(255,255,255,.02)),     linear-gradient(135deg, rgba(255,255,255,.018), transparent 38%, transparent 68%, rgba(111,183,173,.05))	conic-gradient(from 0deg, transparent 0deg 36deg, rgba(255,255,255,.04) 50deg, #7de1d0 72deg, color-mix(in srgb, var(--avt-rank-color) 76%, #d7c995) 88deg, rgba(88,126,184,.72) 106deg, transparent 128deg 360deg)	28	80
src/css/trending/04-trending-refinements.css		#trendingMaster .trending-pair::before	background	linear-gradient(180deg, rgba(255,255,255,.028), transparent 26%, transparent 74%, rgba(255,255,255,.012))	conic-gradient(from 0deg, transparent 0deg 36deg, rgba(255,255,255,.04) 50deg, #7de1d0 72deg, color-mix(in srgb, var(--avt-rank-color) 76%, #d7c995) 88deg, rgba(88,126,184,.72) 106deg, transparent 128deg 360deg)	53	80
src/css/trending/04-trending-refinements.css		#trendingMaster .trending-pair::before	background	conic-gradient(from var(--avt-edge-angle, 0deg), transparent 0deg, transparent 36deg, color-mix(in srgb, var(--avt-rank-color) 64%, #7ddfd0) 70deg, rgba(95, 126, 176, .55) 112deg, transparent 150deg, transparent 224deg, rgba(207, 195, 147, .42) 268deg, color-mix(in srgb, var(--avt-rank-color) 48%, #7ddfd0) 314deg, transparent 360deg)	conic-gradient(from 0deg, transparent 0deg 36deg, rgba(255,255,255,.04) 50deg, #7de1d0 72deg, color-mix(in srgb, var(--avt-rank-color) 76%, #d7c995) 88deg, rgba(88,126,184,.72) 106deg, transparent 128deg 360deg)	71	80
src/css/trending/04-trending-refinements.css		#trendingMaster .avt-artwork::before	background	radial-gradient(circle 110px at var(--avt-light-x, 50%) var(--avt-light-y, 40%), rgba(255,255,255,.24) 0%, color-mix(in srgb, var(--avt-rank-color) 18%, transparent) 24%, rgba(255,255,255,.035) 45%, transparent 70%)	radial-gradient(circle at 82% 14%, rgba(255,255,255,.17), transparent 28%),     radial-gradient(circle at 18% 86%, color-mix(in srgb, var(--avt-rank-color) 28%, transparent), transparent 34%),     linear-gradient(135deg, rgba(255,255,255,.035), transparent 38%, transparent 68%, color-mix(in srgb, var(--avt-rank-color) 8%, transparent))	1	11
src/css/trending/04-trending-refinements.css		#trendingMaster .trending-pair::after	background	transparent	radial-gradient(circle, rgba(125,225,208,.76) 0 1.2px, transparent 1.8px),     radial-gradient(circle, color-mix(in srgb, var(--avt-rank-color) 72%, #d7c995) 0 1px, transparent 1.7px),     radial-gradient(circle, rgba(118,151,198,.55) 0 1.1px, transparent 1.7px),     radial-gradient(circle, rgba(255,255,255,.42) 0 .8px, transparent 1.4px)	5	90
src/css/trending/04-trending-refinements.css		#trendingMaster .trending-pair::after	background	radial-gradient(circle at 16% 82%, rgba(255,255,255,.09) 0 8px, rgba(255,255,255,.03) 9px, transparent 15px),     radial-gradient(circle at 78% 74%, rgba(113, 209, 195, .10) 0 10px, rgba(113, 209, 195, .035) 11px, transparent 18px),     radial-gradient(circle at 60% 88%, rgba(80, 105, 148, .11) 0 12px, rgba(80, 105, 148, .04) 13px, transparent 20px),     radial-gradient(circle at 30% 58%, rgba(220, 221, 219, .055) 0 6px, transparent 12px),     radial-gradient(circle at 88% 30%, rgba(111, 183, 173, .045) 0 5px, transparent 11px),     radial-gradient(circle at 12% 28%, rgba(154, 143, 116, .04) 0 4px, transparent 10px)	radial-gradient(circle, rgba(125,225,208,.76) 0 1.2px, transparent 1.8px),     radial-gradient(circle, color-mix(in srgb, var(--avt-rank-color) 72%, #d7c995) 0 1px, transparent 1.7px),     radial-gradient(circle, rgba(118,151,198,.55) 0 1.1px, transparent 1.7px),     radial-gradient(circle, rgba(255,255,255,.42) 0 .8px, transparent 1.4px)	43	90
src/css/trending/04-trending-refinements.css		#trendingMaster .trending-pair::after	background	radial-gradient(circle at 18% 16%, color-mix(in srgb, var(--avt-rank-color) 22%, transparent), transparent 26%),     radial-gradient(circle at 84% 82%, rgba(113, 209, 195, .10), transparent 24%),     radial-gradient(circle at 58% 64%, rgba(80, 105, 148, .08), transparent 28%),     linear-gradient(145deg, rgba(255,255,255,.035), transparent 24%, transparent 74%, rgba(255,255,255,.02)),     repeating-linear-gradient(120deg, rgba(255,255,255,.018) 0px, rgba(255,255,255,.018) 1px, transparent 1px, transparent 18px)	radial-gradient(circle, rgba(125,225,208,.76) 0 1.2px, transparent 1.8px),     radial-gradient(circle, color-mix(in srgb, var(--avt-rank-color) 72%, #d7c995) 0 1px, transparent 1.7px),     radial-gradient(circle, rgba(118,151,198,.55) 0 1.1px, transparent 1.7px),     radial-gradient(circle, rgba(255,255,255,.42) 0 .8px, transparent 1.4px)	48	90
src/css/trending/04-trending-refinements.css		#trendingMaster .trending-pair::after	background	radial-gradient(circle at 18% 16%, color-mix(in srgb, var(--avt-rank-color) 18%, transparent), transparent 26%),     radial-gradient(circle at 82% 84%, rgba(255,255,255,.045), transparent 22%),     radial-gradient(circle at 50% 100%, rgba(113,209,195,.06), transparent 32%),     linear-gradient(145deg, rgba(255,255,255,.018), transparent 28%, transparent 72%, rgba(255,255,255,.012))	radial-gradient(circle, rgba(125,225,208,.76) 0 1.2px, transparent 1.8px),     radial-gradient(circle, color-mix(in srgb, var(--avt-rank-color) 72%, #d7c995) 0 1px, transparent 1.7px),     radial-gradient(circle, rgba(118,151,198,.55) 0 1.1px, transparent 1.7px),     radial-gradient(circle, rgba(255,255,255,.42) 0 .8px, transparent 1.4px)	54	90
src/css/trending/04-trending-refinements.css		#trendingMaster .trending-pair::after	background	radial-gradient(circle at 50% 100%, color-mix(in srgb, var(--avt-rank-color) 12%, transparent), transparent 34%),     radial-gradient(circle at 10% 14%, rgba(255,255,255,.035), transparent 22%),     linear-gradient(180deg, rgba(255,255,255,.02), transparent 24%, transparent 76%, rgba(255,255,255,.012))	radial-gradient(circle, rgba(125,225,208,.76) 0 1.2px, transparent 1.8px),     radial-gradient(circle, color-mix(in srgb, var(--avt-rank-color) 72%, #d7c995) 0 1px, transparent 1.7px),     radial-gradient(circle, rgba(118,151,198,.55) 0 1.1px, transparent 1.7px),     radial-gradient(circle, rgba(255,255,255,.42) 0 .8px, transparent 1.4px)	63	90
src/css/trending/04-trending-refinements.css		#trendingMaster .trending-pair::after	background	radial-gradient(ellipse at center, color-mix(in srgb, var(--avt-rank-color) 22%, #62c8b9) 0%, color-mix(in srgb, var(--avt-rank-color) 8%, transparent) 42%, transparent 72%)	radial-gradient(circle, rgba(125,225,208,.76) 0 1.2px, transparent 1.8px),     radial-gradient(circle, color-mix(in srgb, var(--avt-rank-color) 72%, #d7c995) 0 1px, transparent 1.7px),     radial-gradient(circle, rgba(118,151,198,.55) 0 1.1px, transparent 1.7px),     radial-gradient(circle, rgba(255,255,255,.42) 0 .8px, transparent 1.4px)	72	90
src/css/trending/04-trending-refinements.css		#trendingMaster .trending-pair::after	background	radial-gradient(circle at 20% 50%, rgba(125,225,208,.42) 0%, transparent 32%),     radial-gradient(circle at 80% 50%, color-mix(in srgb, var(--avt-rank-color) 38%, #d7c995) 0%, transparent 34%)	radial-gradient(circle, rgba(125,225,208,.76) 0 1.2px, transparent 1.8px),     radial-gradient(circle, color-mix(in srgb, var(--avt-rank-color) 72%, #d7c995) 0 1px, transparent 1.7px),     radial-gradient(circle, rgba(118,151,198,.55) 0 1.1px, transparent 1.7px),     radial-gradient(circle, rgba(255,255,255,.42) 0 .8px, transparent 1.4px)	82	90
src/css/trending/04-trending-refinements.css		#trendingMaster .trending-pair::after	filter	blur(.2px)	blur(12px)	43	82
src/css/trending/04-trending-refinements.css		#trendingMaster .trending-pair::after	filter	saturate(1.04)	blur(12px)	48	82
src/css/trending/04-trending-refinements.css		#trendingMaster .trending-pair::after	filter	saturate(1.02)	blur(12px)	54	82
src/css/trending/04-trending-refinements.css		#trendingMaster .trending-pair:hover::after, #trendingMaster .trending-pair:focus-within::after	filter	saturate(1.08) brightness(1.02)	blur(15px)	51	75
src/css/trending/04-trending-refinements.css		#trendingMaster .trending-pair:hover::after, #trendingMaster .trending-pair:focus-within::after	filter	saturate(1.07) brightness(1.02)	blur(15px)	57	75
src/css/trending/04-trending-refinements.css		#trendingMaster .trending-pair:hover::after, #trendingMaster .trending-pair:focus-within::after	filter	saturate(1.03)	blur(15px)	67	75
src/css/trending/04-trending-refinements.css		#trendingMaster .trending-pair:not(#__av_prio_a#__av_prio_b)::before	background	transparent	radial-gradient(circle at 9% 9%, color-mix(in srgb, var(--avt-rank-color) 26%, transparent), transparent 14%),     radial-gradient(circle at 91% 91%, rgba(125,225,208,.16), transparent 16%)	66	93
src/css/trending/04-trending-refinements.css		#trendingMaster .trending-pair::before	filter	drop-shadow(0 0 4px color-mix(in srgb, var(--avt-rank-color) 8%, transparent))	drop-shadow(0 0 4px rgba(125,225,208,.42)) drop-shadow(0 0 9px color-mix(in srgb, var(--avt-rank-color) 22%, transparent))	71	80
src/css/trending/04-trending-refinements.css		#trendingMaster .trending-pair:hover::before, #trendingMaster .trending-pair:focus-within::before	filter	drop-shadow(0 0 8px color-mix(in srgb, var(--avt-rank-color) 18%, transparent))	drop-shadow(0 0 6px rgba(125,225,208,.58)) drop-shadow(0 0 13px color-mix(in srgb, var(--avt-rank-color) 34%, transparent))	74	84
src/css/trending/04-trending-refinements.css		#trendingMaster .trending-pair::after	background-size	160% 100%	36px 46px, 52px 64px, 68px 78px, 88px 96px	82	90
src/css/trending/04-trending-refinements.css		#trendingMaster .avt-caption:not(#__av_prio_a#__av_prio_b)	position	absolute	relative	107	110
src/css/trending/04-trending-refinements.css		#trendingMaster .avt-title:not(#__av_prio_a#__av_prio_b)	display	block	-webkit-box	108	111
src/css/trending/04-trending-refinements.css		#trendingMaster .avt-title:not(#__av_prio_a#__av_prio_b)	writing-mode	vertical-rl	horizontal-tb	108	111
src/css/trending/05-trending-effects.css		#trendingMaster .avt-v31-fx::after	background	radial-gradient(ellipse, color-mix(in srgb, var(--avt-rank-color) 18%, rgba(120,210,198,.12)), transparent 70%)	linear-gradient(90deg, transparent 0%, color-mix(in srgb, var(--avt-rank-color) 10%, transparent) 18%, rgba(255,255,255,.05) 50%, color-mix(in srgb, var(--avt-rank-color) 12%, transparent) 82%, transparent 100%)	6	52
src/css/trending/05-trending-effects.css		#trendingMaster .avt-v31-fx::after	filter	blur(12px)	blur(10px)	6	52
src/css/trending/05-trending-effects.css		#trendingMaster .avt-v31-fx:not(#__av_prio_a#__av_prio_b)::after	content	none	""	30	53
src/css/trending/06-trending-final.css		#trendingMaster .section-header:not(#__av_prio_a#__av_prio_b)	padding-inline	2px	0	1	8
